DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.12. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,,,,,
Sensor code,,,,,,,,,,,,,,
        Datum,    L,    K,   KR,   K15,   K30,   K60,  KR15,  KR30,  KR60,   L15,   L30,   L60,  batt
Units,,,,,,,,,,,,,,
Minimum value,,,,,,,,,,,,,,
Maximum value,,,,,,,,,,,,,,
02.03. 10:30 ,  0.0,  0.0,  0.0, 30.87, 22.67, 39.89, 22.85, 24.72, 35.94, 37.04, 20.92, -0.22, 12.55
02.03. 11:00 ,  0.0,  0.0,  0.0, 30.84, 22.60, 39.89, 22.83, 24.65, 35.91, 37.00, 20.88, -0.22, 12.55
02.03. 11:30 ,  0.0,  0.0,  0.0, 30.81, 22.55, 39.89, 22.83, 24.62, 35.87, 37.00, 20.83, -0.22, 12.55
02.03. 12:00 ,  0.0,  0.0,  0.0, 30.78, 22.48, 39.85, 22.81, 24.53, 35.83, 36.97, 20.81, -0.22, 12.55
02.03. 12:30 ,  0.0,  0.0,  0.0, 30.75, 22.41, 39.82, 22.76, 24.48, 35.80, 36.93, 20.76, -0.22, 12.55
02.03. 13:00 ,  0.0,  0.0,  0.0, 30.75, 22.36, 39.82, 22.74, 24.41, 35.76, 36.89, 20.74, -0.22, 12.55
02.03. 13:30 ,  0.0,  0.0,  0.0, 30.73, 22.29, 39.78, 22.71, 24.39, 35.72, 36.86, 20.69, -0.22, 12.55
02.03. 14:00 ,  0.0,  0.0,  0.0, 30.70, 22.25, 39.78, 22.69, 24.32, 35.65, 36.86, 20.67, -0.22, 12.55
02.03. 14:30 ,  0.0,  0.0,  0.0, 30.67, 22.20, 39.75, 22.69, 24.27, 35.65, 36.86, 20.64, -0.22, 12.55
02.03. 15:00 ,  0.0,  0.0,  0.0, 30.67, 22.16, 39.75, 22.64, 24.23, 35.61, 36.82, 20.60, -0.22, 12.56
02.03. 15:30 ,  0.0,  0.0,  0.0, 30.64, 22.11, 39.75, 22.62, 24.20, 35.58, 36.78, 20.55, -0.22, 12.56
02.03. 16:00 ,  0.0,  0.0,  0.0, 30.61, 22.06, 39.75, 22.60, 24.16, 35.54, 36.75, 20.53, -0.22, 12.56
02.03. 16:30 ,  0.0,  0.0,  0.0, 30.61, 22.02, 39.75, 22.57, 24.09, 35.47, 36.75, 20.50, -0.22, 12.56
02.03. 17:00 ,  0.0,  0.0,  0.0, 30.58, 21.97, 39.71, 22.57, 24.04, 35.47, 36.71, 20.46, -0.22, 12.56
02.03. 17:30 ,  0.0,  0.0,  0.0, 30.58, 21.92, 39.71, 22.53, 23.99, 35.43, 36.67, 20.43, -0.22, 12.56
02.03. 18:00 ,  0.0,  0.0,  0.0, 30.53, 21.90, 39.67, 22.53, 23.97, 35.39, 36.67, 20.41, -0.22, 12.57
02.03. 18:30 ,  0.0,  0.0,  0.0, 30.53, 21.85, 39.67, 22.53, 23.92, 35.39, 36.64, 20.36, -0.22, 12.57
02.03. 19:00 ,  0.0,  0.0,  0.0, 30.50, 21.83, 39.64, 22.48, 23.90, 35.36, 36.64, 20.36, -0.22, 12.56
02.03. 19:30 ,  0.0,  0.0,  0.0, 30.50, 21.78, 39.64, 22.46, 23.83, 35.28, 36.64, 20.32, -0.22, 12.56
02.03. 20:00 ,  0.0,  0.0,  0.0, 30.47, 21.74, 39.60, 22.43, 23.81, 35.32, 36.60, 20.29, -0.22, 12.56
02.03. 20:30 ,  0.0,  0.0,  0.0, 30.47, 21.71, 39.60, 22.41, 23.78, 35.28, 36.56, 20.25, -0.22, 12.56
02.03. 21:00 ,  0.0,  0.0,  0.0, 30.44, 21.64, 39.56, 22.41, 23.74, 35.21, 36.53, 20.22, -0.22, 12.56
02.03. 21:30 ,  0.0,  0.0,  0.0, 30.44, 21.62, 39.60, 22.39, 23.67, 35.21, 36.53, 20.20, -0.22, 12.57
02.03. 22:00 ,  0.0,  0.0,  0.0, 30.41, 21.60, 39.60, 22.36, 23.64, 35.17, 36.49, 20.18, -0.22, 12.57
02.03. 22:30 ,  0.0,  0.0,  0.0, 30.41, 21.55, 39.53, 22.34, 23.62, 35.17, 36.53, 20.15, -0.22, 12.57
02.03. 23:00 ,  0.0,  0.0,  0.0, 30.38, 21.50, 39.53, 22.34, 23.55, 35.17, 36.53, 20.13, -0.22, 12.57
02.03. 23:30 ,  0.0,  0.0,  0.0, 30.36, 21.46, 39.53, 22.32, 23.51, 35.10, 36.49, 20.11, -0.22, 12.56
03.03. 00:00 ,  0.0,  0.0,  0.1, 30.36, 21.43, 39.49, 22.29, 23.48, 35.10, 36.45, 20.08, -0.22, 12.56
03.03. 00:30 ,  0.0,  0.0,  0.0, 30.36, 21.39, 39.45, 22.27, 23.44, 35.06, 36.45, 20.06, -0.22, 12.56
03.03. 01:00 ,  0.0,  0.0,  0.0, 30.33, 21.34, 39.45, 22.27, 23.41, 35.06, 36.42, 20.04, -0.22, 12.56
03.03. 01:30 ,  0.0,  0.0,  0.1, 30.33, 21.32, 39.42, 22.27, 23.39, 35.03, 36.42, 20.01, -0.22, 12.55
03.03. 02:00 ,  0.0,  0.0,  0.0, 30.30, 21.29, 39.42, 22.27, 23.34, 34.99, 36.42, 19.97, -0.22, 12.56
03.03. 02:30 ,  0.0,  0.0,  0.0, 30.30, 21.25, 39.34, 22.25, 23.32, 34.96, 36.42, 19.97, -0.22, 12.56
03.03. 03:00 ,  0.0,  0.0,  0.0, 30.27, 21.20, 39.38, 22.27, 23.30, 34.96, 36.38, 19.92, -0.22, 12.55
03.03. 03:30 ,  0.0,  0.0,  0.0, 30.27, 21.20, 39.34, 22.23, 23.25, 34.93, 36.34, 19.92, -0.22, 12.56
03.03. 04:00 ,  0.0,  0.0,  0.0, 30.24, 21.18, 39.34, 22.23, 23.23, 34.93, 36.38, 19.87, -0.22, 12.55
03.03. 04:30 ,  0.0,  0.0,  0.0, 30.24, 21.13, 39.38, 22.23, 23.20, 34.93, 36.31, 19.87, -0.22, 12.56
03.03. 05:00 ,  0.0,  0.0,  0.0, 30.24, 21.11, 39.31, 22.20, 23.16, 34.91, 36.31, 19.85, -0.22, 12.55
03.03. 05:30 ,  0.0,  0.0,  0.0, 30.21, 21.08, 39.31, 22.20, 23.11, 34.88, 36.27, 19.83, -0.22, 12.55
03.03. 06:00 ,  0.0,  0.0,  0.0, 30.21, 21.06, 39.31, 22.18, 23.09, 34.88, 36.27, 19.83, -0.22, 12.55
03.03. 06:30 ,  0.0,  0.0,  0.0, 30.21, 21.02, 39.27, 22.18, 23.09, 34.85, 36.27, 19.78, -0.22, 12.55
03.03. 07:00 ,  0.0,  0.0,  0.0, 30.18, 20.99, 39.27, 22.16, 23.06, 34.82, 36.27, 19.78, -0.22, 12.55
03.03. 07:30 ,  0.0,  0.0,  0.0, 30.16, 20.97, 39.31, 22.16, 23.02, 34.79, 36.23, 19.76, -0.22, 12.55
03.03. 08:00 ,  0.0,  0.0,  0.0, 30.18, 20.95, 39.23, 22.16, 23.02, 34.79, 36.23, 19.73, -0.22, 12.55
03.03. 08:30 ,  0.0,  0.0,  0.0, 30.16, 20.92, 39.23, 22.13, 22.97, 34.79, 36.20, 19.73, -0.22, 12.55
03.03. 09:00 ,  0.0,  0.0,  0.0, 30.16, 20.90, 39.23, 22.13, 22.95, 34.76, 36.23, 19.71, -0.22, 12.54
03.03. 09:30 ,  0.0,  0.0,  0.0, 30.13, 20.88, 39.23, 22.11, 22.92, 34.74, 36.20, 19.69, -0.22, 12.55
03.03. 10:00 ,  0.0,  0.0,  0.0, 30.10, 20.85, 39.20, 22.11, 22.88, 34.74, 36.16, 19.67, -0.22, 12.54
03.03. 10:30 ,  0.0,  0.0,  0.0, 30.13, 20.83, 39.20, 22.11, 22.88, 34.74, 36.16, 19.67, -0.22, 12.54
03.03. 11:00 ,  0.0,  0.0,  0.0, 30.13, 20.81, 39.20, 22.09, 22.83, 34.71, 36.16, 19.64, -0.22, 12.54
03.03. 11:30 ,  0.0,  0.0,  0.0, 30.10, 20.78, 39.20, 22.09, 22.81, 34.68, 36.16, 19.64, -0.22, 12.54
03.03. 12:00 ,  0.0,  0.0,  0.0, 30.10, 20.76, 39.16, 22.06, 22.78, 34.68, 36.12, 19.60, -0.22, 12.54
03.03. 12:30 ,  0.0,  0.0,  0.0, 30.10, 20.76, 39.16, 22.06, 22.78, 34.65, 36.09, 19.60, -0.22, 12.54
03.03. 13:00 ,  0.0,  0.0,  0.0, 30.07, 20.71, 39.12, 22.04, 22.76, 34.62, 36.09, 19.57, -0.22, 12.54
03.03. 13:30 ,  0.0,  0.0,  0.0, 30.04, 20.69, 39.12, 22.02, 22.71, 34.62, 36.09, 19.55, -0.22, 12.54
03.03. 14:00 ,  0.0,  0.0,  0.0, 30.04, 20.69, 39.12, 22.02, 22.71, 34.62, 36.12, 19.55, -0.22, 12.55
03.03. 14:30 ,  0.0,  0.0,  0.0, 30.04, 20.69, 39.12, 21.99, 22.69, 34.59, 36.05, 19.53, -0.22, 12.55
03.03. 15:00 ,  0.0,  0.0,  0.1, 30.04, 20.67, 39.12, 21.99, 22.64, 34.57, 36.05, 19.50, -0.22, 12.55
03.03. 15:30 ,  0.0,  0.0,  0.0, 30.01, 20.62, 39.09, 22.02, 22.67, 34.54, 36.05, 19.50, -0.22, 12.55
03.03. 16:00 ,  0.0,  0.0,  0.0, 30.01, 20.62, 39.09, 21.99, 22.62, 34.57, 36.05, 19.48, -0.22, 12.55
03.03. 16:30 ,  0.0,  0.0,  0.1, 29.99, 20.57, 39.09, 21.99, 22.60, 34.57, 36.01, 19.46, -0.22, 12.55
03.03. 17:00 ,  0.0,  0.0,  0.3, 29.99, 20.57, 39.09, 21.99, 22.57, 34.54, 36.01, 19.46, -0.22, 12.55
03.03. 17:30 ,  0.0,  0.0,  0.1, 29.99, 20.55, 39.09, 22.02, 22.55, 34.51, 35.98, 19.43, -0.22, 12.55
03.03. 18:00 ,  0.0,  0.0,  0.2, 29.99, 20.53, 39.01, 22.04, 22.50, 34.48, 36.05, 19.41, -0.22, 12.56
03.03. 18:30 ,  0.0,  0.0,  0.7, 29.99, 20.53, 39.05, 22.11, 22.50, 34.48, 35.98, 19.41, -0.22, 12.56
03.03. 19:00 ,  0.0,  0.0,  0.5, 30.01, 20.48, 39.01, 22.20, 22.46, 34.48, 36.01, 19.39, -0.22, 12.55
03.03. 19:30 ,  0.0,  0.0,  0.5, 30.07, 20.48, 39.01, 22.39, 22.43, 34.51, 36.05, 19.36, -0.22, 12.55
03.03. 20:00 ,  0.0,  0.0,  0.8, 30.21, 20.48, 38.98, 22.67, 22.43, 34.45, 36.12, 19.39, -0.22, 12.55
03.03. 20:30 ,  0.0,  0.0,  0.6, 30.44, 20.50, 38.98, 23.11, 22.39, 34.45, 36.31, 19.39, -0.22, 12.56
03.03. 21:00 ,  0.0,  0.0,  0.4, 30.75, 20.50, 38.94, 23.60, 22.36, 34.45, 36.53, 19.46, -0.22, 12.55
03.03. 21:30 ,  0.0,  0.0,  0.4, 31.12, 20.62, 38.94, 23.95, 22.36, 34.42, 36.86, 19.57, -0.22, 12.55
03.03. 22:00 ,  0.0,  0.0,  0.2, 31.46, 20.76, 38.94, 24.09, 22.36, 34.42, 37.15, 19.73, -0.22, 12.55
03.03. 22:30 ,  0.0,  0.0,  0.1, 31.61, 21.01, 38.94, 24.11, 22.41, 34.39, 37.37, 19.92, -0.22, 12.55
03.03. 23:00 ,  0.0,  0.0,  0.2, 31.69, 21.48, 38.94, 24.11, 22.43, 34.39, 37.51, 20.13, -0.22, 12.55
03.03. 23:30 ,  0.0,  0.0,  0.2, 31.69, 22.04, 38.90, 24.11, 22.53, 34.37, 37.59, 20.34, -0.22, 12.55
04.03. 00:00 ,  0.0,  0.0,  0.1, 31.72, 22.57, 38.90, 24.09, 22.62, 34.39, 37.62, 20.53, -0.22, 12.55
04.03. 00:30 ,  0.0,  0.0,  0.3, 31.69, 22.95, 38.90, 24.06, 22.78, 34.37, 37.66, 20.69, -0.22, 12.55
04.03. 01:00 ,  0.0,  0.0,  0.2, 31.69, 23.23, 38.90, 24.04, 22.95, 34.34, 37.66, 20.81, -0.22, 12.55
04.03. 01:30 ,  0.0,  0.0,  0.4, 31.69, 23.39, 38.90, 24.04, 23.16, 34.37, 37.66, 20.90, -0.22, 12.55
04.03. 02:00 ,  0.0,  0.0,  0.7, 31.69, 23.53, 38.94, 24.11, 23.37, 34.34, 37.70, 20.99, -0.22, 12.55
04.03. 02:30 ,  0.0,  0.0,  1.1, 31.69, 23.62, 38.94, 24.23, 23.62, 34.34, 37.73, 21.06, -0.22, 12.55
04.03. 03:00 ,  0.0,  0.0,  1.1, 31.81, 23.76, 38.94, 24.62, 23.92, 34.34, 37.88, 21.20, -0.22, 12.55
04.03. 03:30 ,  0.0,  0.0,  0.8, 32.06, 24.02, 38.98, 25.07, 24.34, 34.37, 38.21, 21.43, -0.22, 12.55
04.03. 04:00 ,  0.0,  0.0,  0.3, 32.37, 24.92, 39.01, 25.10, 25.12, 34.37, 38.54, 21.85, -0.22, 12.55
04.03. 04:30 ,  0.0,  0.0,  0.1, 32.40, 26.30, 39.09, 24.90, 26.53, 34.37, 38.57, 22.29, -0.22, 12.55
04.03. 05:00 ,  0.0,  0.0,  0.0, 32.37, 26.63, 39.16, 24.72, 27.38, 34.39, 38.50, 22.50, -0.22, 12.55
04.03. 05:30 ,  0.0,  0.0,  0.0, 32.26, 26.56, 39.34, 24.55, 27.68, 34.48, 38.43, 22.57, -0.22, 12.55
04.03. 06:00 ,  0.0,  0.0,  0.0, 32.18, 26.33, 39.56, 24.39, 27.78, 34.54, 38.36, 22.60, -0.22, 12.55
04.03. 06:30 ,  0.0,  0.0,  0.0, 32.06, 26.04, 39.67, 24.27, 27.78, 34.65, 38.28, 22.55, -0.22, 12.55
04.03. 07:00 ,  0.0,  0.0,  0.0, 31.98, 25.71, 39.75, 24.16, 27.68, 34.76, 38.10, 22.50, -0.22, 12.55
04.03. 07:30 ,  0.0,  0.0,  0.1, 31.89, 25.40, 39.82, 24.04, 27.61, 34.88, 38.03, 22.43, -0.22, 12.54
04.03. 08:00 ,  0.0,  0.0,  0.0, 31.83, 25.12, 39.82, 23.95, 27.45, 34.99, 37.95, 22.39, -0.22, 12.54
04.03. 08:30 ,  0.0,  0.0,  0.0, 31.72, 24.88, 39.89, 23.88, 27.27, 35.17, 37.92, 22.32, -0.22, 12.54
04.03. 09:00 ,  0.0,  0.0,  0.0, 31.69, 24.67, 39.85, 23.78, 27.09, 35.32, 37.84, 22.25, -0.22, 12.55
04.03. 09:30 ,  0.0,  0.0,  0.0, 31.64, 24.48, 39.85, 23.71, 26.91, 35.47, 37.77, 22.16, -0.22, 12.54
04.03. 10:00 ,  0.0,  0.0,  0.0, 31.58, 24.32, 39.85, 23.69, 26.74, 35.54, 37.73, 22.09, -0.22, 12.55
04.03. 10:30 ,  0.0,  0.0,  0.0, 31.52, 24.16, 39.89, 23.60, 26.56, 35.58, 37.70, 22.02, -0.22, 12.54
04.03. 11:00 ,  0.0,  0.0,  0.0, 31.46, 23.99, 39.85, 23.53, 26.40, 35.65, 37.62, 21.92, -0.22, 12.54
04.03. 11:30 ,  0.0,  0.0,  0.0, 31.44, 23.88, 39.85, 23.48, 26.22, 35.69, 37.59, 21.85, -0.22, 12.54
04.03. 12:00 ,  0.0,  0.0,  0.4, 30.55, 21.32, 39.01, 22.64, 23.44, 34.96, 36.67, 20.06, -0.22, 12.54
04.03. 12:30 ,  0.0,  0.0,  0.2, 30.53, 21.29, 39.01, 22.67, 23.39, 34.93, 36.67, 20.04, -0.22, 12.53
04.03. 13:00 ,  0.0,  0.0,  0.1, 30.55, 21.27, 38.98, 22.71, 23.39, 34.91, 36.64, 20.01, -0.22, 12.53
04.03. 13:30 ,  0.0,  0.0,  0.0, 30.53, 21.25, 38.98, 22.71, 23.34, 34.91, 36.64, 20.01, -0.22, 12.52
04.03. 14:00 ,  0.0,  0.0,  0.2, 30.53, 21.22, 38.94, 22.76, 23.30, 34.91, 36.64, 19.97, -0.22, 12.53
04.03. 14:30 ,  0.0,  0.0,  0.0, 30.55, 21.22, 38.94, 22.76, 23.30, 34.88, 36.71, 19.97, -0.22, 12.53
04.03. 15:00 ,  0.0,  0.0,  0.1, 30.55, 21.18, 38.94, 22.78, 23.27, 34.85, 36.71, 19.94, -0.22, 12.53
04.03. 15:30 ,  0.0,  0.0,  0.0, 30.58, 21.15, 38.90, 22.81, 23.25, 34.85, 36.71, 19.92, -0.22, 12.53
04.03. 16:00 ,  0.0,  0.0,  0.0, 30.58, 21.15, 38.90, 22.81, 23.27, 34.82, 36.71, 19.92, -0.22, 12.53
04.03. 16:30 ,  0.0,  0.0,  0.0, 30.58, 21.15, 38.90, 22.83, 23.25, 34.85, 36.75, 19.92, -0.22, 12.54
04.03. 17:00 ,  0.0,  0.0,  0.0, 30.58, 21.15, 38.90, 22.81, 23.25, 34.82, 36.78, 19.92, -0.22, 12.54
04.03. 17:30 ,  0.0,  0.0,  0.0, 30.61, 21.13, 38.87, 22.83, 23.25, 34.79, 36.78, 19.90, -0.22, 12.54
04.03. 18:00 ,  0.0,  0.0,  0.0, 30.61, 21.13, 38.83, 22.81, 23.25, 34.76, 36.78, 19.90, -0.22, 12.54
04.03. 18:30 ,  0.0,  0.0,  0.0, 30.58, 21.11, 38.87, 22.78, 23.23, 34.74, 36.78, 19.90, -0.22, 12.54
04.03. 19:00 ,  0.0,  0.0,  0.0, 30.58, 21.11, 38.83, 22.81, 23.25, 34.76, 36.78, 19.90, -0.22, 12.54
04.03. 19:30 ,  0.0,  0.0,  0.0, 30.61, 21.08, 38.79, 22.78, 23.25, 34.74, 36.78, 19.87, -0.22, 12.54
04.03. 20:00 ,  0.0,  0.0,  0.0, 30.58, 21.11, 38.79, 22.81, 23.25, 34.71, 36.78, 19.87, -0.22, 12.54
04.03. 20:30 ,  0.0,  0.0,  0.0, 30.58, 21.11, 38.79, 22.78, 23.23, 34.74, 36.78, 19.90, -0.22, 12.54
04.03. 21:00 ,  0.0,  0.0,  0.0, 30.58, 21.08, 38.79, 22.76, 23.23, 34.74, 36.78, 19.87, -0.22, 12.54
04.03. 21:30 ,  0.0,  0.0,  0.0, 30.58, 21.08, 38.76, 22.74, 23.23, 34.68, 36.75, 19.87, -0.22, 12.54
04.03. 22:00 ,  0.0,  0.0,  0.0, 30.58, 21.08, 38.76, 22.74, 23.23, 34.68, 36.78, 19.87, -0.22, 12.54
04.03. 22:30 ,  0.0,  0.0,  0.0, 30.58, 21.08, 38.76, 22.71, 23.23, 34.71, 36.75, 19.87, -0.22, 12.54
04.03. 23:00 ,  0.0,  0.0,  0.0, 30.58, 21.06, 38.72, 22.71, 23.25, 34.68, 36.78, 19.83, -0.22, 12.54
04.03. 23:30 ,  0.0,  0.0,  0.0, 30.55, 21.06, 38.72, 22.69, 23.20, 34.65, 36.78, 19.85, -0.22, 12.53
05.03. 00:00 ,  0.0,  0.0,  0.0, 30.55, 21.04, 38.72, 22.69, 23.23, 34.65, 36.75, 19.83, -0.22, 12.54
05.03. 00:30 ,  0.0,  0.0,  0.0, 30.55, 21.04, 38.72, 22.67, 23.23, 34.62, 36.75, 19.85, -0.22, 12.54
05.03. 01:00 ,  0.0,  0.0,  0.0, 30.55, 21.04, 38.72, 22.64, 23.20, 34.62, 36.75, 19.83, -0.22, 12.54
05.03. 01:30 ,  0.0,  0.0,  0.0, 30.53, 21.01, 38.72, 22.64, 23.20, 34.62, 36.71, 19.80, -0.22, 12.53
05.03. 02:00 ,  0.0,  0.0,  0.0, 30.53, 21.01, 38.68, 22.62, 23.18, 34.59, 36.71, 19.83, -0.22, 12.53
05.03. 02:30 ,  0.0,  0.0,  0.0, 30.50, 21.01, 38.72, 22.60, 23.18, 34.59, 36.71, 19.83, -0.22, 12.53
05.03. 03:00 ,  0.0,  0.0,  0.0, 30.50, 21.01, 38.68, 22.57, 23.18, 34.59, 36.67, 19.83, -0.22, 12.53
05.03. 03:30 ,  0.0,  0.0,  0.0, 30.50, 20.99, 38.65, 22.60, 23.18, 34.59, 36.67, 19.80, -0.22, 12.53
05.03. 04:00 ,  0.0,  0.0,  0.0, 30.50, 21.01, 38.65, 22.55, 23.18, 34.57, 36.67, 19.78, -0.22, 12.53
05.03. 04:30 ,  0.0,  0.0,  0.0, 30.47, 20.97, 38.65, 22.55, 23.16, 34.57, 36.67, 19.78, -0.22, 12.53
05.03. 05:00 ,  0.0,  0.0,  0.0, 30.47, 20.97, 38.61, 22.53, 23.13, 34.57, 36.64, 19.78, -0.22, 12.53
05.03. 05:30 ,  0.0,  0.0,  0.0, 30.44, 20.97, 38.65, 22.50, 23.11, 34.57, 36.60, 19.78, -0.22, 12.53
05.03. 06:00 ,  0.0,  0.0,  0.0, 30.44, 20.92, 38.65, 22.48, 23.11, 34.57, 36.64, 19.76, -0.22, 12.53
05.03. 06:30 ,  0.0,  0.0,  0.0, 30.44, 20.92, 38.61, 22.48, 23.11, 34.54, 36.60, 19.73, -0.22, 12.53
05.03. 07:00 ,  0.0,  0.0,  0.0, 30.44, 20.92, 38.61, 22.46, 23.09, 34.51, 36.56, 19.76, -0.22, 12.52
05.03. 07:30 ,  0.0,  0.0,  0.0, 30.41, 20.90, 38.61, 22.46, 23.09, 34.54, 36.56, 19.73, -0.22, 12.53
05.03. 08:00 ,  0.0,  0.0,  0.0, 30.41, 20.88, 38.61, 22.43, 23.09, 34.51, 36.56, 19.71, -0.22, 12.53
05.03. 08:30 ,  0.0,  0.0,  0.0, 30.38, 20.90, 38.57, 22.41, 23.06, 34.48, 36.53, 19.71, -0.22, 12.53
05.03. 09:00 ,  0.0,  0.0,  0.0, 30.36, 20.85, 38.61, 22.41, 23.04, 34.51, 36.53, 19.69, -0.22, 12.53
05.03. 09:30 ,  0.0,  0.0,  0.0, 30.36, 20.85, 38.58, 22.36, 23.02, 34.51, 36.49, 19.69, -0.22, 12.53
05.03. 10:00 ,  0.0,  0.0,  0.0, 30.36, 20.83, 38.57, 22.39, 23.02, 34.48, 36.53, 19.69, -0.22, 12.52
05.03. 10:30 ,  0.0,  0.0,  0.1, 30.36, 20.83, 38.58, 22.36, 23.02, 34.48, 36.49, 19.69, -0.22, 12.53
05.03. 11:00 ,  0.0,  0.0,  0.0, 30.36, 20.81, 38.57, 22.36, 22.97, 34.45, 36.45, 19.67, -0.22, 12.53
05.03. 11:30 ,  0.0,  0.0,  0.2, 30.33, 20.81, 38.54, 22.36, 22.97, 34.45, 36.45, 19.67, -0.22, 12.54
05.03. 12:00 ,  0.0,  0.0,  0.6, 30.33, 20.78, 38.58, 22.36, 22.99, 34.42, 36.45, 19.64, -0.22, 12.53
05.03. 12:30 ,  0.0,  0.0,  0.7, 30.33, 20.78, 38.54, 22.39, 22.97, 34.45, 36.49, 19.69, -0.22, 12.54
05.03. 13:00 ,  0.0,  0.0,  1.1, 30.30, 20.78, 38.54, 22.50, 22.95, 34.42, 36.45, 19.62, -0.22, 12.53
05.03. 13:30 ,  0.0,  0.0,  0.4, 30.33, 20.76, 38.54, 22.71, 22.95, 34.42, 36.45, 19.64, -0.22, 12.54
05.03. 14:00 ,  0.0,  0.0,  0.5, 30.38, 20.76, 38.54, 23.04, 22.92, 34.42, 36.53, 19.62, -0.22, 12.54
05.03. 14:30 ,  0.0,  0.0,  0.6, 30.50, 20.76, 38.54, 23.41, 22.92, 34.42, 36.71, 19.64, -0.22, 12.53
05.03. 15:00 ,  0.0,  0.0,  0.4, 30.67, 20.78, 38.54, 23.81, 22.97, 34.42, 36.86, 19.64, -0.22, 12.53
05.03. 15:30 ,  0.0,  0.0,  0.7, 30.87, 20.83, 38.54, 24.09, 22.97, 34.39, 37.04, 19.71, -0.22, 12.54
05.03. 16:00 ,  0.0,  0.0,  0.8, 31.09, 20.90, 38.54, 24.37, 23.04, 34.42, 37.29, 19.83, -0.22, 12.53
05.03. 16:30 ,  0.0,  0.0,  1.0, 31.38, 20.99, 38.50, 24.60, 23.18, 34.39, 37.59, 19.97, -0.22, 12.54
05.03. 17:00 ,  0.0,  0.0,  1.3, 31.72, 21.20, 38.54, 24.88, 23.37, 34.42, 37.95, 20.18, -0.22, 12.53
05.03. 17:30 ,  0.0,  0.0,  1.0, 32.26, 21.71, 38.50, 25.33, 23.90, 34.39, 38.54, 20.55, -0.22, 12.53
05.03. 18:00 ,  0.0,  0.0,  0.7, 32.60, 24.97, 38.50, 25.33, 25.99, 34.39, 38.79, 21.39, -0.22, 12.53
05.03. 18:30 ,  0.0,  0.0,  0.3, 32.60, 27.30, 38.54, 25.15, 28.17, 34.39, 38.79, 22.25, -0.22, 12.54
05.03. 19:00 ,  0.0,  0.0,  0.2, 32.52, 27.50, 38.54, 24.97, 28.73, 34.42, 38.68, 22.69, -0.22, 12.54
05.03. 19:30 ,  0.0,  0.0,  0.9, 32.40, 27.35, 38.61, 24.83, 28.81, 34.54, 38.57, 22.85, -0.22, 12.54
05.03. 20:00 ,  0.0,  0.0,  1.0, 32.35, 27.09, 38.79, 24.90, 28.76, 34.68, 38.54, 22.88, -0.22, 12.54
05.03. 20:30 ,  0.0,  0.0,  0.2, 32.37, 26.94, 39.09, 24.90, 28.71, 34.88, 38.61, 22.92, -0.22, 12.54
05.03. 21:00 ,  0.0,  0.0,  0.0, 32.35, 26.89, 39.34, 24.81, 28.71, 35.21, 38.57, 22.97, -0.22, 12.54
05.03. 21:30 ,  0.0,  0.0,  0.1, 32.32, 26.79, 39.49, 24.67, 28.63, 35.69, 38.47, 22.95, -0.22, 12.54
05.03. 22:00 ,  0.0,  0.0,  0.0, 32.23, 26.61, 39.64, 24.53, 28.53, 36.09, 38.39, 22.92, -0.22, 12.54
05.03. 22:30 ,  0.0,  0.0,  0.0, 32.15, 26.33, 39.71, 24.41, 28.30, 36.42, 38.28, 22.88, -0.22, 12.54
05.03. 23:00 ,  0.0,  0.0,  0.0, 32.06, 25.99, 39.78, 24.32, 28.07, 36.60, 38.21, 22.81, -0.22, 12.54
05.03. 23:30 ,  0.0,  0.0,  0.0, 31.98, 25.69, 39.85, 24.16, 27.81, 36.67, 38.14, 22.71, -0.22, 12.54
06.03. 00:00 ,  0.0,  0.0,  0.0, 31.86, 25.38, 39.85, 24.09, 27.55, 36.78, 38.03, 22.64, -0.22, 12.54
06.03. 00:30 ,  0.0,  0.0,  0.0, 31.81, 25.12, 39.85, 23.97, 27.32, 36.75, 37.95, 22.55, -0.22, 12.54
06.03. 01:00 ,  0.0,  0.0,  0.0, 31.75, 24.90, 39.89, 23.90, 27.09, 36.78, 37.92, 22.46, -0.22, 12.54
06.03. 01:30 ,  0.0,  0.0,  0.0, 31.66, 24.69, 39.89, 23.85, 26.91, 36.78, 37.81, 22.36, -0.22, 12.54
06.03. 02:00 ,  0.0,  0.0,  0.0, 31.61, 24.51, 39.93, 23.76, 26.71, 36.75, 37.73, 22.29, -0.22, 12.54
06.03. 02:30 ,  0.0,  0.0,  0.1, 31.58, 24.32, 39.89, 23.71, 26.53, 36.75, 37.73, 22.20, -0.22, 12.54
06.03. 03:00 ,  0.0,  0.0,  0.0, 31.52, 24.18, 39.93, 23.64, 26.40, 36.75, 37.62, 22.13, -0.22, 12.54
06.03. 03:30 ,  0.0,  0.0,  0.0, 31.46, 24.04, 39.89, 23.57, 26.25, 36.71, 37.59, 22.02, -0.22, 12.54
06.03. 04:00 ,  0.0,  0.0,  0.1, 31.41, 23.88, 39.89, 23.53, 26.12, 36.64, 37.55, 21.95, -0.22, 12.54
